"","Species","D1000M1-ex1-rep1","D1000M1-ex2-rep1","D1000M2-ex1-rep1","D1000M2-ex2-rep1","D1000M3-ex1-rep1","D1000M3-ex2-rep1","D1000M4-ex1-rep1","D1000M4-ex2-rep1","D1000M5-ex1-rep1","D1000M5-ex2-rep1","D250M1-ex1-rep1","D250M1-ex2-rep1","D250M2-ex1-rep1","D250M2-ex2-rep1","D250M4-ex1-rep1","D250M4-ex2-rep1","D250M5-ex1-rep1","D250M5-ex2-rep1","D500M1-ex1-rep1","D500M2-ex1-rep1","D500M2-ex2-rep1","D500M3-ex1-rep1","D500M3-ex2-rep1","D500M4-ex1-rep1","D500M5-ex1-rep1","D500M5-ex2-rep1","DLarv2-ex1-rep1","DLarv2-ex2-rep1","DLarv3-ex1-rep1","DLarv3-ex2-rep1","DLarv4-ex1-rep1","DLarv4-ex2-rep1","DLarv5-ex1-rep1","DLarv5-ex2-rep1","DM1-ex1-rep1","DM2-ex1-rep1","DM3-ex1-rep1","DM4-ex1-rep1","DM5-ex1-rep1","M2ACV-ex1-rep1","M2ACV-ex2-rep1","M2DC-ex1-rep1","M2DC-ex2-rep1","M2FF-ex1-rep1","M4DC-ex1-rep1","M4DC-ex2-rep1","M4FF-ex1-rep1","M4FF-ex2-rep1","M6FF-ex1-rep1","POS1-ex1-rep1","POS1-ex2-rep1","POS2-ex1-rep1","POS2-ex2-rep1","T10DC-ex1-rep1","T10DC-ex2-rep1","T10FF-ex1-rep1","T10FF-ex2-rep1","T10SPD-ex1-rep1","T10SPD-ex2-rep1","T2SPD-ex1-rep1","T2SPD-ex2-rep1","T4DC-ex1-rep1","T4DC-ex2-rep1","T4FF-ex1-rep1","T4FF-ex2-rep1","T4SPD-ex1-rep1","T4SPD-ex2-rep1","T6DC-ex1-rep1","T6DC-ex2-rep1","T6FF-ex1-rep1","T6FF-ex2-rep1","T6SPD-ex1-rep1","T6SPD-ex2-rep1","T8DC-ex1-rep1","T8DC-ex2-rep1","T8FF-ex1-rep1","T8FF-ex2-rep1","T8SPD-ex1-rep1","T8SPD-ex2-rep1"
"1","Drosophila_albomicans",2.16403591205159e-05,1.84682438546919e-05,0.29174594266683,0.277517820945352,5.19603363845132e-05,2.83796161174323e-05,0.261691887843738,0.228434893841728,0.213736249475308,0.19577914214615,0.000266061905962757,4.88761666037448e-06,0.223554722353595,0.213852165975043,0.0947705409841029,0.0935859558797346,0.258163282673776,0.25375581698278,1.15108741789509e-05,NA,1.50235125483137e-06,0.248615009246765,0.245093117741689,0.427965426879588,0.393076685451279,0.384615384615385,NA,NA,2.15557240255142e-07,NA,NA,NA,NA,NA,NA,0.0348666723224045,6.83458949291219e-07,0.0712668628579624,0.151516924221321,NA,NA,NA,3.09338942679494e-05,NA,NA,0.000101543460601137,NA,NA,NA,NA,NA,0.357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32694780074346e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Drosophila_biarmipes",NA,NA,NA,NA,0.00520664919104601,0.00353261394127753,NA,NA,0.00353591313507935,0.00332359749396214,NA,NA,NA,NA,NA,NA,0.000462069630678398,0.000458407004565636,2.87771854473773e-06,NA,NA,NA,NA,NA,2.37625644559561e-05,0.000120059429417562,NA,NA,NA,NA,NA,NA,NA,NA,4.2344711357275e-07,NA,0.00622904486384017,2.54431774555324e-05,0.00685933010841584,0.0222057827820548,0.01842750073105,0.00939006923904845,0.00893989544343738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00267659052779437,0.00206395740665858,NA,NA,0.0426713532680409,0.033386062433038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Drosophila_busckii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76641015436019e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Drosophila_buzzatii/koepferae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000699462895072065,0.000417003639304488,NA,NA,NA,NA,0.114300606751639,0.0817123088319017,NA,NA,NA,NA,0.0679723014576093,0.0649956472645761,2.7097823141541e-05,2.47012666809554e-06,NA,NA,3.69611708116156e-07,NA
"5","Drosophila_hydei",0.120458944756392,0.122643913790238,0.125595253881333,0.131954892129639,0.393983523824303,0.325724378896975,NA,5.69030190465785e-07,0.0239879586976348,0.0267236247041376,0.162427278901941,0.171027185960632,0.0682104739662309,0.0725688016671698,8.44880621888463e-07,NA,0.0313118890158757,0.0344438228212508,0.340616838970065,0.0162389444686095,0.020313591786826,0.122906766598555,0.130385571153462,NA,0.0263435445337876,0.029724713733298,0.412669488269858,0.293354183449431,0.428751973157088,0.413041363054558,NA,NA,0.149063950686182,0.135798523592056,0.140065295544913,0.276366992454916,0.349797707541992,0.000684526034557063,0.0693285570372512,0.0064824334829601,0.00676167195087344,0.0743747722399722,0.0735608005691837,NA,0.0055497745404093,0.00497562956945573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023664365172517,0.000202645966532414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00123510650766015,0.00129286274002744,4.10573077902136e-07,NA,NA,NA,0.00745026320049735,0.00730506345552781
"6","Drosophila_immigrans",2.66151543206345e-05,1.47745950837535e-05,0.154260169691287,0.153304098239563,3.42211892854993e-05,3.28454440343886e-05,0.118281518263347,0.118803640579288,0.280104598409947,0.300393582644154,0.000185224074560598,6.36871261806371e-06,0.334247241576019,0.321667387991577,0.255556955866957,0.253398545332923,0.17943746016777,0.193146593185327,3.30937632644839e-05,NA,1.95305663128079e-06,0.223576280674187,0.210798883878771,0.150128129026654,0.14910278040283,0.143616089964532,NA,NA,NA,NA,NA,NA,NA,7.2673198833699e-06,4.2344711357275e-07,0.0467922265815364,4.55639299527479e-07,0.0104015543341669,0.219299551132549,0.248978107681119,0.25892637210515,0.22624304007729,0.228323073591734,1.96008099054653e-06,0.167996300150306,0.156427701056052,1.53216786431121e-05,6.37259275308752e-05,5.77583966269096e-05,NA,0.8,NA,NA,NA,NA,NA,NA,NA,1.13421249924858e-06,6.93911602254033e-07,NA,NA,NA,1.76033010471347e-05,1.33795373355989e-05,NA,2.03108329249163e-07,NA,NA,NA,NA,0.0052741133422786,0.00502013627795978,1.64229231160854e-06,3.80019487399314e-07,NA,NA,NA,NA
"7","Drosophila_mauritiana/simulans",0.385731690390636,0.388653110975677,0.0793933338983651,0.0776292740872953,0.147586072227382,0.133936805941914,0.0977632939745983,0.0910228279738276,0.20127720681881,0.215157225604196,0.439836883314984,0.438741204696792,0.0243581148616034,0.0243789028829962,0.0524641295370969,0.0541805971432028,0.200868119359793,0.200959500940467,0.140861445046367,0.674371880113507,0.610850161044543,0.100940577650403,0.0990528234755346,0.0400312721692172,0.14574677514582,0.159674038649131,0.0477690516674071,0.0411099527713279,0.0326198460533302,0.0292821200517734,0.154528985001549,0.134627491548447,0.513996347124629,0.472257092860948,0.337433995181172,0.0829854610764137,0.0995353162603769,0.0460781171769854,0.320710674775129,0.0460541164079545,0.033385575195871,0.000177970626371857,9.28016828038482e-05,6.53360330182177e-07,0.000115620302925194,NA,NA,2.97387661810751e-05,NA,NA,NA,0.642857142857143,0.2,0.509460540017852,0.496767233460273,0.208339987578742,0.168597697323945,0.777736299140385,0.722824174000296,0.795931353406924,0.76479731095835,0.128811309932181,0.144399503682099,0.693409252723219,0.718010812724557,0.676533313166452,0.678723854118661,0.754044298243193,0.678324511502539,0.395840266222962,0.4173921292886,0.772529174244224,0.77261611102875,0.572265378014633,0.533711338717449,0.242035495523795,0.211086682143178,0.600755782020756,0.596904261290112
"8","Drosophila_melanogaster",0.226286519349715,0.248187341865662,0.142675287048822,0.158937305848928,0.0984082677275887,0.123000569609148,0.122950393728868,0.140861526882504,0.0354837598147712,0.0475676322419351,0.244979223798658,0.248755101820163,0.24405189688882,0.274894256192787,0.273827358501858,0.293583383095578,0.0245951742616079,0.0297909028863428,0.0241167202641746,0.190269061082458,0.224249211228032,0.195070561540418,0.209374376181585,0.182406509244111,0.0622195331935607,0.0739966283310239,0.278009199718062,0.321342463156897,0.13383302375721,0.1450835931876,0.481856982947043,0.481222598609371,5.07343801527105e-05,3.42602223073152e-05,0.247703011132425,0.304536180680279,0.0636482537509936,0.192414900849157,0.0413896911036037,0.0437971763171753,0.0488888760845108,NA,NA,0.291069413654839,0.000231240605850387,5.07717303005686e-05,NA,4.24839516872501e-06,NA,NA,NA,NA,0.2,0.00505336953287712,0.0064914010908658,0.562115162807204,0.580099637021706,0.0845925975204687,0.121496653884092,0.0320368578086653,0.0465274969672463,0.0101559951863057,0.0136003996325958,0.172030400425144,0.159338968520007,0.0195593924339292,0.0257324035575643,0.00318190097195622,0.00441131259786036,0.517501134472848,0.487577847719815,0.0401566476546301,0.0472695363138517,0.023518857621468,0.0277285019175783,0.65244542170567,0.683354558783031,0.214239328016346,0.224707571727348
"9","Drosophila_nasuta",NA,NA,0.0189283176809018,0.0125399859502712,NA,2.01682551088351e-06,NA,NA,NA,NA,1.40587532873319e-05,NA,0.0163491777141771,0.0113201336936321,0.00369593028045108,0.00277320031417796,0.00991442991555199,0.00753528723396458,NA,NA,NA,0.0164456570158426,0.0116610009276547,NA,0.0213040529795514,0.015812827349538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Drosophila_repleta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00307194623467162,0.00148514780173637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
