"","Genus","CB3DR_fwhF2-fwhR2n-D100M1","CB3DR_fwhF2-fwhR2n-D100M2","CB3DR_fwhF2-fwhR2n-D100M3","CB3DR_fwhF2-fwhR2n-D100M4","CB3DR_fwhF2-fwhR2n-D100M5","CB3DR_fwhF2-fwhR2n-DM0-FF","CB3DR_fwhF2-fwhR2n-DM10-FF","CB3DR_fwhF2-fwhR2n-DM10-SPD","CB3DR_fwhF2-fwhR2n-DM6-SPD","CB3DR_fwhF2-fwhR2n-extblank1","CB3DR_fwhF2-fwhR2n-extblank2","CB3DR_fwhF2-fwhR2n-extblank3"
"1","Anthrenus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,264
"2","Apis",NA,NA,NA,NA,NA,NA,NA,328,NA,47,6,NA
"3","Brachypeplus",NA,NA,NA,NA,NA,NA,4,5,1376,NA,42807,17471
"4","Bradysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,5
"5","Caliroa",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"6","Carpophilus",NA,NA,2,NA,NA,26278,8526,1018,715,106,20423,7499
"7","Coboldia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"8","Dendrolaelaps",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"9","Drosophila",98496,97111,78413,50610,76930,43,8126,13780,32288,85895,228,54233
"10","Elachista",NA,NA,2,NA,NA,NA,NA,746,7,35,NA,NA
"11","Epuraea",NA,NA,NA,NA,NA,28516,57554,37,15,78,600,NA
"12","Hydrellia",NA,NA,NA,NA,NA,NA,NA,9,361,24,NA,228
"13","Mallada",NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,19
"14","Micromus",NA,NA,NA,NA,NA,NA,NA,47,3110,18,NA,176
"15","Paraphloeostiba",NA,NA,NA,NA,NA,NA,1084,302,185,NA,28,NA
"16","Polyrhachis",NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA
"17","Scaptodrosophila",17122,7119,35410,43022,426,123825,59624,143501,54502,69714,1576,18867
"18","Technomyrmex",NA,NA,4,NA,NA,NA,NA,582,NA,27,NA,NA
"19","Urophorus",4,NA,17,NA,NA,NA,8,33862,677,344,70803,5361
